index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32611;Principado de Asturias;land;Vacio;143251.0;0.0;0;0.0;43.55273;-5.878385
32612;Principado de Asturias;land;Vacio;75000.0;0.0;0;0.0;43.51662;-5.37109
32613;Principado de Asturias;land;Vacio;75751.0;0.0;0;0.0;43.54656;-5.7937
32614;Principado de Asturias;land;Vacio;83630.0;0.0;0;0.0;43.505056;-5.6184963
32679;Principado de Asturias;land;Vacio;120000.0;0.0;0;0.0;43.4828415;-5.2696328
44255;Principado de Asturias;land;Vacio;63000.0;0.0;0;0.0;43.0756728;-5.8317453
44269;Principado de Asturias;land;Vacio;390000.0;0.0;0;0.0;43.5141051;-5.870015
44270;Principado de Asturias;land;Vacio;398000.0;0.0;0;0.0;43.5412603;-5.9095905
44874;Principado de Asturias;land;Vacio;250000.0;0.0;0;0.0;43.4108401;-6.2624031
45779;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.3743071;-4.5422077
45804;Principado de Asturias;land;Vacio;20000.0;0.0;0;0.0;43.3922686;-5.1840546
45823;Principado de Asturias;land;Vacio;240000.0;0.0;0;0.0;43.203731;-5.4449138
45824;Principado de Asturias;land;Vacio;23000.0;0.0;0;0.0;43.3451749;-5.9375243
45825;Principado de Asturias;land;Vacio;42000.0;0.0;0;0.0;43.3092018;-5.7291014
46024;Principado de Asturias;land;Vacio;42960.0;0.0;0;0.0;43.560252;-6.1448245
46025;Principado de Asturias;land;Vacio;195000.0;0.0;0;0.0;43.544951;-5.6288663
46026;Principado de Asturias;land;Vacio;280000.0;0.0;0;0.0;43.5385561;-5.6242051
46150;Principado de Asturias;land;Vacio;50000.0;0.0;0;0.0;43.4717935;-5.4432237
46151;Principado de Asturias;land;Vacio;49000.0;0.0;0;0.0;43.4673804;-5.4631668
46152;Principado de Asturias;land;Vacio;45000.0;0.0;0;0.0;43.50322;-5.45357
46153;Principado de Asturias;land;Vacio;50000.0;0.0;0;0.0;43.5011047;-5.3642036
46154;Principado de Asturias;land;Vacio;42700.0;0.0;0;0.0;43.4810214;-5.4375748
46320;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.434403;-5.812234
46683;Principado de Asturias;land;Vacio;45000.0;0.0;0;0.0;43.4205501;-4.7526095
46704;Principado de Asturias;land;Vacio;90000.0;0.0;0;0.0;43.5373232;-5.5461583
46705;Principado de Asturias;land;Vacio;110000.0;0.0;0;0.0;43.4013302;-5.792883
46758;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.5551147;-6.3285505
46759;Principado de Asturias;land;Vacio;78000.0;0.0;0;0.0;43.5425793;-6.7301279
46760;Principado de Asturias;land;Vacio;39000.0;0.0;0;0.0;43.5190906;-6.8458204
46761;Principado de Asturias;land;Vacio;66000.0;0.0;0;0.0;43.5373516;-6.7265647
46774;Principado de Asturias;land;Vacio;204000.0;0.0;0;0.0;43.500161;-5.6012678
46879;Principado de Asturias;land;Vacio;52894.0;0.0;0;0.0;43.3297101;-4.7026775
46880;Principado de Asturias;land;Vacio;1497970.0;0.0;0;0.0;43.4839495;-5.4375882
46989;Principado de Asturias;land;Vacio;320000.0;0.0;0;0.0;43.5422066;-5.6258815
46990;Principado de Asturias;land;Vacio;57000.0;0.0;0;0.0;43.5620774;-6.0695493
46991;Principado de Asturias;land;Vacio;110000.0;0.0;0;0.0;43.4921627;-5.9656066
46992;Principado de Asturias;land;Vacio;36000.0;0.0;0;0.0;43.4958627;-5.9667066
46993;Principado de Asturias;land;Vacio;57000.0;0.0;0;0.0;43.5158051;-5.868015
47144;Principado de Asturias;land;Vacio;75000.0;0.0;0;0.0;43.4879205;-5.2656922
51347;Principado de Asturias;land;Vacio;200000.0;0.0;0;0.0;43.3771759;-5.7982283
51459;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.3734183;-4.5357049
51460;Principado de Asturias;land;Vacio;26000.0;0.0;0;0.0;43.3233941;-4.5925643
51462;Principado de Asturias;land;Vacio;53000.0;0.0;0;0.0;43.3253941;-4.5936643
51508;Principado de Asturias;land;Vacio;280000.0;0.0;0;0.0;43.3531499;-5.85602
51703;Principado de Asturias;land;Vacio;275000.0;0.0;0;0.0;43.1030374;-5.5079929
51977;Principado de Asturias;land;Vacio;72000.0;0.0;0;0.0;43.5873852;-5.7644949
51978;Principado de Asturias;land;Vacio;36000.0;0.0;0;0.0;43.3874446;-5.6109345
51979;Principado de Asturias;land;Vacio;195000.0;0.0;0;0.0;43.5481111;-5.6273671
51982;Principado de Asturias;land;Vacio;108000.0;0.0;0;0.0;43.5598364;-6.7352274
51984;Principado de Asturias;land;Vacio;75000.0;0.0;0;0.0;43.4864388;-6.1113106
52340;Principado de Asturias;land;Vacio;180000.0;0.0;0;0.0;43.5283005;-6.0703714
52637;Principado de Asturias;land;Vacio;80000.0;0.0;0;0.0;43.4789621;-5.657343
52648;Principado de Asturias;land;Vacio;69000.0;0.0;0;0.0;43.3090003;-5.8186426
52653;Principado de Asturias;land;Vacio;18000.0;0.0;0;0.0;43.3559367;-5.2286115
52654;Principado de Asturias;land;Vacio;40000.0;0.0;0;0.0;43.3378905;-4.9513579
52655;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.3661276;-5.1559333
52656;Principado de Asturias;land;Vacio;37000.0;0.0;0;0.0;43.3460852;-5.3630329
52657;Principado de Asturias;land;Vacio;52000.0;0.0;0;0.0;43.345569;-5.1269406
52658;Principado de Asturias;land;Vacio;15000.0;0.0;0;0.0;43.4023395;-5.1445228
52696;Principado de Asturias;land;Vacio;90000.0;0.0;0;0.0;43.453945;-5.6286143
52697;Principado de Asturias;land;Vacio;25000.0;0.0;0;0.0;43.4064;-5.40403
52698;Principado de Asturias;land;Vacio;68000.0;0.0;0;0.0;43.4834214;-5.4375748
52699;Principado de Asturias;land;Vacio;210000.0;0.0;0;0.0;43.53836;-5.6873699
52700;Principado de Asturias;land;Vacio;150000.0;0.0;0;0.0;43.5172786;-5.6604867
52701;Principado de Asturias;land;Vacio;147000.0;0.0;0;0.0;43.5438355;-5.642833
52825;Principado de Asturias;land;Vacio;120000.0;0.0;0;0.0;43.5402331;-5.5808858
52826;Principado de Asturias;land;Vacio;99000.0;0.0;0;0.0;43.5264496;-5.550337
54442;Principado de Asturias;land;Vacio;25000.0;0.0;0;0.0;43.331333;-5.2140072
54443;Principado de Asturias;land;Vacio;24000.0;0.0;0;0.0;43.3460852;-5.3630329
54444;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.3447852;-5.3650329
54445;Principado de Asturias;land;Vacio;15000.0;0.0;0;0.0;43.347569;-5.1273406
54446;Principado de Asturias;land;Vacio;20000.0;0.0;0;0.0;43.4188472;-5.4029048
54447;Principado de Asturias;land;Vacio;26000.0;0.0;0;0.0;43.3816656;-5.1819288
54448;Principado de Asturias;land;Vacio;20000.0;0.0;0;0.0;43.4188472;-5.4069048
54449;Principado de Asturias;land;Vacio;36000.0;0.0;0;0.0;43.3461852;-5.3650329
54450;Principado de Asturias;land;Vacio;15000.0;0.0;0;0.0;43.3534728;-5.5060931
54571;Principado de Asturias;land;Vacio;2800000.0;0.0;0;0.0;43.3898838;-5.1862617
54628;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.350199;-5.13078
54629;Principado de Asturias;land;Vacio;195000.0;0.0;0;0.0;43.5498111;-5.6253671
54630;Principado de Asturias;land;Vacio;220000.0;0.0;0;0.0;43.4924938;-5.6498301
54631;Principado de Asturias;land;Vacio;580000.0;0.0;0;0.0;43.5501911;-5.6357599
54632;Principado de Asturias;land;Vacio;250000.0;0.0;0;0.0;43.5274386;-5.6288582
54633;Principado de Asturias;land;Vacio;48000.0;0.0;0;0.0;43.5077329;-5.5967981
54634;Principado de Asturias;land;Vacio;28000.0;0.0;0;0.0;43.3616551;-4.5731596
54635;Principado de Asturias;land;Vacio;68000.0;0.0;0;0.0;43.5893852;-5.7661949
54636;Principado de Asturias;land;Vacio;180000.0;0.0;0;0.0;43.3837711;-5.8183969
54637;Principado de Asturias;land;Vacio;40000.0;0.0;0;0.0;43.4841415;-5.2676328
54638;Principado de Asturias;land;Vacio;55000.0;0.0;0;0.0;43.431478;-5.3273243
54639;Principado de Asturias;land;Vacio;45000.0;0.0;0;0.0;43.336603;-4.968617
54640;Principado de Asturias;land;Vacio;59000.0;0.0;0;0.0;43.4806733;-5.4351497
54690;Principado de Asturias;land;Vacio;200000.0;0.0;0;0.0;43.5303951;-5.6318943
54691;Principado de Asturias;land;Vacio;180000.0;0.0;0;0.0;43.5433774;-5.6115761
54692;Principado de Asturias;land;Vacio;270000.0;0.0;0;0.0;43.5312874;-5.628623
54693;Principado de Asturias;land;Vacio;210000.0;0.0;0;0.0;43.5338878;-5.6293293
54762;Principado de Asturias;land;Vacio;132000.0;0.0;0;0.0;43.3659025;-4.5748016
54763;Principado de Asturias;land;Vacio;66000.0;0.0;0;0.0;43.3660025;-4.5740016
54764;Principado de Asturias;land;Vacio;66000.0;0.0;0;0.0;43.3660025;-4.5743016
54773;Principado de Asturias;land;Vacio;48000.0;0.0;0;0.0;43.3627226;-4.5749089
54774;Principado de Asturias;land;Vacio;42000.0;0.0;0;0.0;43.3695904;-4.5372037
54871;Principado de Asturias;land;Vacio;108000.0;0.0;0;0.0;43.3650622;-5.750369
54872;Principado de Asturias;land;Vacio;38500.0;0.0;0;0.0;43.34432;-5.95376
54873;Principado de Asturias;land;Vacio;190000.0;0.0;0;0.0;43.5639736;-6.645783
54874;Principado de Asturias;land;Vacio;80000.0;0.0;0;0.0;43.3754237;-5.7859943
54875;Principado de Asturias;land;Vacio;79000.0;0.0;0;0.0;43.58307;-5.77084
54978;Principado de Asturias;land;Vacio;24000.0;0.0;0;0.0;43.4903819;-5.7262709
54979;Principado de Asturias;land;Vacio;79000.0;0.0;0;0.0;43.5873852;-5.7644949
54980;Principado de Asturias;land;Vacio;49000.0;0.0;0;0.0;43.5167615;-5.7355049
54981;Principado de Asturias;land;Vacio;130000.0;0.0;0;0.0;43.5066029;-5.6070214
55333;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.5638091;-6.9528732
55334;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.5637091;-6.9508732
55356;Principado de Asturias;land;Vacio;60000.0;0.0;0;0.0;43.46021;-6.04474
55515;Principado de Asturias;land;Vacio;35000.0;0.0;0;0.0;43.3997091;-5.6327776
55516;Principado de Asturias;land;Vacio;350000.0;0.0;0;0.0;43.3933253;-5.7037798
55517;Principado de Asturias;land;Vacio;10000.0;0.0;0;0.0;43.4058593;-5.8431437
55518;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.4074754;-5.8155224
55519;Principado de Asturias;land;Vacio;70000.0;0.0;0;0.0;43.4382505;-5.8532287
55520;Principado de Asturias;land;Vacio;22000.0;0.0;0;0.0;43.5579917;-5.9775123
55521;Principado de Asturias;land;Vacio;45000.0;0.0;0;0.0;43.2726669;-6.2710223
55804;Principado de Asturias;land;Vacio;179900.0;0.0;0;0.0;43.54333;-5.62018
55905;Principado de Asturias;land;Vacio;16500.0;0.0;0;0.0;43.3971282;-5.6028288
55906;Principado de Asturias;land;Vacio;280000.0;0.0;0;0.0;43.5099599;-5.7944
55907;Principado de Asturias;land;Vacio;36000.0;0.0;0;0.0;43.38492;-5.68771
56339;Principado de Asturias;land;Vacio;55000.0;0.0;0;0.0;43.3388895;-5.6885727
56340;Principado de Asturias;land;Vacio;45000.0;0.0;0;0.0;43.3968317;-5.5852305
56341;Principado de Asturias;land;Vacio;95000.0;0.0;0;0.0;43.4771529;-5.2212881
56540;Principado de Asturias;land;Vacio;150000.0;0.0;0;0.0;43.6126518;-5.7930779
56603;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.561952;-6.1428245
56604;Principado de Asturias;land;Vacio;82000.0;0.0;0;0.0;43.5858852;-5.7664949
56605;Principado de Asturias;land;Vacio;120000.0;0.0;0;0.0;43.3715231;-5.8825991
56606;Principado de Asturias;land;Vacio;120000.0;0.0;0;0.0;43.3794124;-5.7926933
56632;Principado de Asturias;land;Vacio;50000.0;0.0;0;0.0;43.3883028;-6.0779685
56714;Principado de Asturias;land;Vacio;49500.0;0.0;0;0.0;43.4637095;-5.604165
56948;Principado de Asturias;land;Vacio;119000.0;0.0;0;0.0;43.5161443;-5.6062547
57130;Principado de Asturias;land;Vacio;403900.0;0.0;0;0.0;43.5314269;-5.6571119
57216;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.5303005;-6.0708714
57217;Principado de Asturias;land;Vacio;54000.0;0.0;0;0.0;43.4205501;-4.7526095
57218;Principado de Asturias;land;Vacio;100000.0;0.0;0;0.0;43.595025;-5.87448
57313;Principado de Asturias;land;Vacio;195000.0;0.0;0;0.0;43.3788799;-5.8848827
57314;Principado de Asturias;land;Vacio;105000.0;0.0;0;0.0;43.3501177;-5.8783315
57316;Principado de Asturias;land;Vacio;110000.0;0.0;0;0.0;43.3621881;-5.8741406
57427;Principado de Asturias;land;Vacio;110000.0;0.0;0;0.0;43.5258951;-5.6079118
57428;Principado de Asturias;land;Vacio;100000.0;0.0;0;0.0;43.4633488;-5.9213387
57429;Principado de Asturias;land;Vacio;82000.0;0.0;0;0.0;43.4468979;-6.7074152
57662;Principado de Asturias;land;Vacio;75000.0;0.0;0;0.0;43.5389671;-5.470376
57848;Principado de Asturias;land;Vacio;64000.0;0.0;0;0.0;43.4170656;-5.9864697
57849;Principado de Asturias;land;Vacio;157000.0;0.0;0;0.0;43.3723947;-5.8933926
57900;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.4526138;-5.6283568
57901;Principado de Asturias;land;Vacio;210000.0;0.0;0;0.0;43.5252414;-5.607495
57902;Principado de Asturias;land;Vacio;160000.0;0.0;0;0.0;43.5162288;-5.6224798
58111;Principado de Asturias;land;Vacio;170000.0;0.0;0;0.0;43.54148;-5.61609
58327;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.4603823;-5.6849771
58582;Principado de Asturias;land;Vacio;40000.0;0.0;0;0.0;43.4594063;-5.0567592
58744;Principado de Asturias;land;Vacio;114000.0;0.0;0;0.0;43.5151209;-5.622636
58745;Principado de Asturias;land;Vacio;40000.0;0.0;0;0.0;43.5893852;-5.7629949
58750;Principado de Asturias;land;Vacio;70000.0;0.0;0;0.0;43.344769;-5.1289406
58793;Principado de Asturias;land;Vacio;25000.0;0.0;0;0.0;43.4883072;-5.9899896
58956;Principado de Asturias;land;Vacio;120000.0;0.0;0;0.0;43.3315596;-5.8950842
58957;Principado de Asturias;land;Vacio;95000.0;0.0;0;0.0;43.4387505;-5.8512287
58958;Principado de Asturias;land;Vacio;55000.0;0.0;0;0.0;43.3599173;-5.9067673
58959;Principado de Asturias;land;Vacio;70000.0;0.0;0;0.0;43.4666667;-5.9333333
58960;Principado de Asturias;land;Vacio;55000.0;0.0;0;0.0;43.3594271;-5.8935441
58961;Principado de Asturias;land;Vacio;225000.0;0.0;0;0.0;43.4195333;-4.7509136
59470;Principado de Asturias;land;Vacio;415000.0;0.0;0;0.0;43.3693589;-5.8571412
59568;Principado de Asturias;land;Vacio;65000.0;0.0;0;0.0;43.4508626;-5.7677404
59569;Principado de Asturias;land;Vacio;93000.0;0.0;0;0.0;43.431478;-5.3247243
59570;Principado de Asturias;land;Vacio;63000.0;0.0;0;0.0;43.4833664;-5.4347459
59879;Principado de Asturias;land;Vacio;90000.0;0.0;0;0.0;43.3507194;-5.8784973
59956;Principado de Asturias;land;Vacio;130000.0;0.0;0;0.0;43.519971;-5.6047579
60139;Principado de Asturias;land;Vacio;98000.0;0.0;0;0.0;43.3597011;-5.9176637
60140;Principado de Asturias;land;Vacio;90000.0;0.0;0;0.0;43.354485;-5.8816792
60187;Principado de Asturias;land;Vacio;20000.0;0.0;0;0.0;43.4803424;-5.763717
60188;Principado de Asturias;land;Vacio;40000.0;0.0;0;0.0;43.4823424;-5.764917
60189;Principado de Asturias;land;Vacio;135000.0;0.0;0;0.0;43.3810859;-5.1915981
60190;Principado de Asturias;land;Vacio;90000.0;0.0;0;0.0;43.4816733;-5.4335497
60191;Principado de Asturias;land;Vacio;165000.0;0.0;0;0.0;43.5256072;-5.6397676
60192;Principado de Asturias;land;Vacio;63000.0;0.0;0;0.0;43.5588239;-5.7304745
60193;Principado de Asturias;land;Vacio;88000.0;0.0;0;0.0;43.4846804;-5.6253421
60194;Principado de Asturias;land;Vacio;75000.0;0.0;0;0.0;43.4367505;-5.8518287
